Wall time,Step,Value
1523878204.769097,63591,89681.34375
1523878311.784731,63691,86343.515625
1523878419.036162,63791,85805.765625
1523878526.095664,63891,80624.703125
1523879062.738486,64391,104164.34375
1523879384.474195,64691,84158.609375
1523879711.743645,64991,111388.984375
1523879925.994894,65191,95615.953125
1523880033.319336,65291,94100.90625
1523880192.063825,65424,94687.171875
1523880406.581426,65624,93580.671875
1523880513.663089,65724,77428.546875
1523880620.835705,65824,78654.546875
1523880942.016621,66124,88810.09375
1523881049.1658,66224,83670.921875
1523881156.510194,66324,85615.765625
1523881263.85487,66424,81033.59375
1523881371.055695,66524,76375.140625
1523881585.440751,66724,84260.390625
1523882015.421947,67124,67695.140625
1523882125.856023,67224,89951.4921875
1523882340.278467,67424,86792.984375
1523882447.460711,67524,79568.7421875
1523882554.59169,67624,87486.65625
1523882605.934269,67657,98847.171875
1523883035.133259,68057,85938.4921875
1523883356.574048,68357,106459.921875
1523883785.800646,68757,69276.078125
1523883892.998383,68857,91111.515625
1523884000.183835,68957,86982.8125
1523884107.378277,69057,89323.4921875
1523884214.799924,69157,77280.0234375
1523884326.864576,69257,86432.515625
1523884434.503791,69357,75619.40625
1523884542.214238,69457,78686.59375
1523884649.740272,69557,73711.015625
1523884864.214406,69757,54339.7734375
1523885078.585834,69957,78876.1171875
1523885130.268445,69990,61407.734375
1523885452.455032,70290,69549.53125
1523885559.788625,70390,72938.140625
1523885774.158076,70590,85465.1875
1523885881.378049,70690,85084.609375
1523885988.562328,70790,98971.75
1523886095.834679,70890,86206.890625
1523886203.045952,70990,73770.4296875
1523886310.207117,71090,62665.4140625
1523886417.508864,71190,111025.765625
1523886846.69652,71590,73413.28125
1523886954.016181,71690,83326.7734375
1523887275.758264,71990,64001.5390625
1523887489.982309,72190,70325.453125
1523887648.959004,72323,68498.609375
1523887863.392256,72523,83719.578125
1523888077.335005,72723,85500.140625
1523888291.364684,72923,68703.2265625
1523888614.218051,73223,79291.296875
1523888721.393967,73323,80618.296875
1523888936.027827,73523,71140.5625
1523889043.249796,73623,63627.2734375
1523889150.281822,73723,80797.34375
1523889471.496944,74023,80262.828125
1523889686.223222,74223,81713.921875
1523890114.873029,74623,63052.859375
1523890166.287473,74656,85216.78125
1523890380.791039,74856,76106.625
1523890488.174434,74956,88463.21875
1523890916.677428,75356,90590.625
1523891023.866509,75456,68553.6484375
1523891350.17061,75756,66311.578125
1523891885.729636,76256,83013.8828125
1523891993.037298,76356,82665.6015625
1523892314.624738,76656,64444.69921875
1523892421.70155,76756,76995.78125
1523892528.674418,76856,69125.5703125
1523893008.440697,77289,71869.953125
1523893115.631485,77389,73475.8203125
1523893222.608529,77489,69075.84375
1523893329.801466,77589,73419.796875
1523893544.016861,77789,73162.4453125
1523893651.129594,77889,67635.609375
1523893758.063438,77989,67527.6796875
1523893972.01577,78189,79537.0390625
1523894079.058817,78289,90624.109375
1523894293.392499,78489,74308.8203125
1523894400.35793,78589,72438.4375
1523894507.43328,78689,74961.609375
1523894721.504071,78889,84162.109375
1523894828.612479,78989,98837.9921875
1523894935.901178,79089,79024.609375
1523895043.099955,79189,83123.34375
1523895150.177908,79289,95914.234375
1523895309.485774,79422,60130.29296875
1523895416.775844,79522,72398.40625
1523895523.796291,79622,88493.09375
1523895742.429799,79822,77620.140625
1523895849.665065,79922,72679.1875
1523896385.777544,80422,96093.5859375
1523896600.132343,80622,77702.71875
1523896921.311152,80922,83392.828125
1523897028.52168,81022,77089.3828125
1523897135.588764,81122,102449.921875
1523897242.728344,81222,76261.9140625
1523897349.82124,81322,80739.65625
1523897671.820511,81622,85692.65625
1523897723.302863,81655,78071.7109375
1523897830.559938,81755,96138.390625
1523897937.572768,81855,61922.62109375
1523898158.755733,82055,90928.640625
1523898265.903191,82155,61080.171875
1523898373.010215,82255,84686.546875
1523898694.994395,82555,89712.8203125
1523898909.718239,82755,76621.40625
1523899016.82901,82855,71320.0
1523899123.671115,82955,71657.390625
1523899230.686394,83055,77036.078125
1523899337.594698,83155,70041.09375
1523899444.768113,83255,64128.9921875
1523899551.833704,83355,87183.171875
1523899766.001584,83555,82591.296875
1523899873.077729,83655,74833.796875
1523900086.896409,83855,73256.921875
1523900193.672838,83955,79499.4140625
1523900244.887451,83988,77766.9765625
1523900458.846479,84188,63289.7421875
1523900780.517253,84488,72650.4140625
1523900887.736545,84588,76156.0234375
1523901103.98679,84788,80041.828125
1523901320.429444,84988,82365.515625
1523901538.554221,85188,65369.83984375
1523901646.56353,85288,87329.5234375
1523902080.646453,85688,72071.0
1523902188.129947,85788,67742.125
1523902404.258219,85988,60435.82421875
1523902511.700815,86088,71613.15625
1523902621.072901,86188,70061.203125
1523902728.633588,86288,75870.59375
1523902780.024057,86321,71392.203125
1523902996.91318,86521,55180.95703125
1523903427.872391,86921,78081.875
1523903535.287989,87021,71798.265625
1523903642.654831,87121,59194.76171875
1523903966.309415,87421,74859.09375
1523904073.295395,87521,79987.03125
1523904396.800904,87821,87113.90625
1523904612.251291,88021,62271.63671875
1523904719.644212,88121,96136.46875
1523904829.445242,88221,78006.640625
1523904936.61669,88321,84361.765625
1523905043.817615,88421,61707.08984375
1523905150.849894,88521,87698.296875
1523905309.419881,88654,75404.5625
1523905416.431136,88754,81519.859375
1523905630.511303,88954,72940.6015625
1523905737.840204,89054,81930.6953125
1523905845.568813,89154,66139.78125
1523905953.902091,89254,70566.6171875
1523906168.008502,89454,82414.03125
1523906382.924142,89654,74644.734375
1523906814.220152,90054,78450.46875
1523907028.415453,90254,74898.3125
1523907350.286157,90554,77036.1484375
1523907458.8618,90654,73354.703125
1523907566.00573,90754,74704.53125
1523907780.168439,90954,77217.84375
1523907831.599823,90987,93754.3984375
1523907938.819922,91087,71723.8125
1523908371.031592,91487,75698.828125
1523908478.715281,91587,87995.375
1523908692.518266,91787,74937.2265625
1523908799.299988,91887,65368.73046875
1523909012.966339,92087,77737.125
1523909120.023665,92187,101661.921875
1523909227.103868,92287,59566.1171875
1523909441.010206,92487,79395.890625
1523909655.018581,92687,88770.171875
1523909976.429201,92987,84605.140625
1523910300.418499,93287,70102.078125
1523910351.817212,93320,76318.796875
1523910566.474532,93520,74358.7109375
1523910673.790711,93620,74223.578125
1523910781.022897,93720,70469.25
1523910888.320837,93820,70247.546875
1523910995.922515,93920,66116.515625
1523911210.219209,94120,70186.4375
1523911317.371325,94220,74448.75
1523911424.581086,94320,82061.0625
1523911746.13257,94620,68488.203125
1523912070.357656,94920,61480.73828125
1523912177.580639,95020,65068.6171875
1523912498.964432,95320,85380.265625
1523912606.239637,95420,74976.1171875
1523913412.661575,96153,66920.1875
1523913519.890776,96253,79067.6796875
