Wall time,Step,Value
1523734039.267783,106540,141212.921875
1523734254.919285,106740,148764.4375
1523734362.664429,106840,113881.5234375
1523734793.839896,107240,112840.515625
1523735075.650784,107472,124805.8359375
1523735290.624098,107672,145248.5
1523735398.227167,107772,127898.5390625
1523735613.496727,107972,115182.0
1523735938.338397,108272,120120.015625
1523736045.954711,108372,145682.8125
1523736153.667934,108472,162294.828125
1523736261.59539,108572,157317.03125
1523736369.41003,108672,135363.375
1523736477.226306,108772,125487.609375
1523736585.041756,108872,145477.546875
1523736692.500233,108972,133125.71875
1523736907.782462,109172,152113.65625
1523737016.027531,109272,124409.59375
1523737405.733358,109604,122692.8046875
1523737513.612776,109704,105818.7265625
1523737729.081342,109904,114283.0703125
1523737944.092067,110104,129026.609375
1523738052.21115,110204,153501.03125
1523738159.809664,110304,119458.765625
1523738267.408526,110404,134666.125
1523738590.540969,110704,139107.125
1523738806.991099,110904,146103.0625
1523739022.603894,111104,148373.28125
1523739130.312425,111204,131515.40625
1523739237.887991,111304,120474.4296875
1523739346.027898,111404,162095.296875
1523739561.486004,111604,130739.296875
1523739884.314394,111904,145366.703125
1523739950.435269,111936,118926.53125
1523740058.552965,112036,113283.9453125
1523740166.167311,112136,123773.609375
1523740273.929796,112236,130389.75
1523740381.731139,112336,124523.984375
1523740489.400367,112436,136110.78125
1523740596.951625,112536,131308.46875
1523740813.057405,112736,154477.6875
1523741244.223771,113136,113948.0625
1523741351.931416,113236,133582.1875
1523741459.888862,113336,141346.140625
1523741567.679114,113436,109532.546875
1523741675.532526,113536,128811.34375
1523741783.155088,113636,125880.8203125
1523741890.963923,113736,156160.421875
1523741998.657977,113836,141766.21875
1523742106.477096,113936,145331.4375
1523742214.39548,114036,132344.71875
1523742430.302306,114236,133069.9375
1523742496.226253,114268,146899.640625
1523742603.842809,114368,122249.09375
1523743034.991311,114768,156358.796875
1523743250.613204,114968,135974.203125
1523743359.290824,115068,124511.8671875
1523743466.756332,115168,120682.2265625
1523743574.283347,115268,139350.015625
1523743682.454855,115368,141451.15625
1523743790.151027,115468,122824.9765625
1523744005.585081,115668,155358.890625
1523744221.480213,115868,142516.875
1523744329.358616,115968,134098.109375
1523744437.069229,116068,131064.765625
1523744544.803759,116168,139355.71875
1523744652.442993,116268,123430.5
1523745042.157742,116600,125039.34375
1523745150.563973,116700,133540.46875
1523745258.683044,116800,132871.46875
1523745366.479526,116900,120994.390625
1523745474.498886,117000,132058.625
1523745582.136905,117100,124999.828125
1523745797.678005,117300,137557.484375
1523746013.231672,117500,143247.125
1523746121.091757,117600,108393.6171875
1523746336.640667,117800,130437.140625
1523746444.129945,117900,126497.1015625
1523746660.011111,118100,148092.03125
1523746767.720844,118200,106573.3046875
1523746875.236459,118300,135478.4375
1523747198.258144,118600,116602.7734375
1523747306.032262,118700,142797.71875
1523747413.64342,118800,135705.40625
1523747521.994157,118900,132375.234375
1523747588.113366,118932,136672.875
1523747804.214016,119132,108658.265625
1523748126.987031,119432,97083.9609375
1523748342.063797,119632,166822.203125
1523748557.449098,119832,127672.59375
1523748987.949984,120232,135724.5625
1523749203.209822,120432,137327.546875
1523749418.609217,120632,111900.9921875
1523749526.367935,120732,113624.0703125
1523749634.073358,120832,114389.875
1523750064.746253,121232,139345.15625
1523750130.914224,121264,125993.375
1523750238.721689,121364,121249.109375
1523750346.527654,121464,125225.765625
1523750778.248265,121864,102947.421875
1523750886.00946,121964,120450.84375
1523751101.623944,122164,106136.625
1523751209.351008,122264,120975.65625
1523751424.690076,122464,132549.4375
1523751532.374943,122564,128982.65625
1523751640.858049,122664,131578.734375
1523751748.515777,122764,121767.828125
1523751856.257706,122864,146161.828125
1523751963.955215,122964,121005.71875
1523752072.054166,123064,152208.359375
1523752179.732828,123164,139374.125
1523752395.340585,123364,125720.625
1523752676.799572,123596,120465.5234375
1523752785.392813,123696,118578.109375
1523753001.091889,123896,111533.8984375
1523753108.816941,123996,102361.546875
1523753216.486428,124096,124800.1953125
1523753431.961567,124296,134968.921875
1523753539.814883,124396,130974.0
1523753647.609103,124496,129434.59375
